type,old_url,old_path,new_path,action,lastmod,http_status,title,description,canonical,og_title,og_description,og_image,h1
"pages","https://www.mirasisone.com/blog","/blog","/blog","keep-200","2026-06-06","200","TOPICS・NEWS | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEの最新ニュースとトピックスページ。プロジェクションマッピング、3DCG動画制作、AR・VRコンテンツ制作に関する最新情報、イベント情報、業界の動向をご覧いただけます。","https://www.mirasisone.com/blog","TOPICS・NEWS | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEの最新ニュースとトピックスページ。プロジェクションマッピング、3DCG動画制作、AR・VRコンテンツ制作に関する最新情報、イベント情報、業界の動向をご覧いただけます。","https://static.wixstatic.com/media/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg/v1/fill/w_2500,h_1875,al_c/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"pages","https://www.mirasisone.com/company","/company","/company","keep-200","2026-06-06","200","会社概要 | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","株式会社MIRASISONEの「About Us」ページでは、私たちの会社概要、ミッション、ビジョンを紹介しています。代表の挨拶を通じて、企業の成り立ちや未来に向けた思いをお伝えし、私たちの提供する革新的なサービスの根底にある理念をご紹介します。また、プロジェクションマッピングや3DCG動画制作、AR・VRコンテンツ制作を通じて、未来のエンターテインメントを創造し続ける私たちの活動についても詳しくご覧いただけます。","https://www.mirasisone.com/company","ABOUT | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","株式会社MIRASISONEの「About Us」ページでは、私たちの会社概要、ミッション、ビジョンを紹介しています。代表の挨拶を通じて、企業の成り立ちや未来に向けた思いをお伝えし、私たちの提供する革新的なサービスの根底にある理念をご紹介します。また、プロジェクションマッピングや3DCG動画制作、AR・VRコンテンツ制作を通じて、未来のエンターテインメントを創造し続ける私たちの活動についても詳しくご覧いただけます。","https://static.wixstatic.com/media/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg/v1/fill/w_2500,h_1875,al_c/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"pages","https://www.mirasisone.com/privacy-policy","/privacy-policy","/privacy-policy","keep-200","2026-06-06","200","PRIVACY POLICY | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEのプライバシーポリシー。プロジェクションマッピング、3DCG動画制作、AR・VRコンテンツ制作に関する個人情報の取り扱いや、データ保護に関する方針をご確認いただけます。","https://www.mirasisone.com/privacy-policy","PRIVACY POLICY | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEのプライバシーポリシー。プロジェクションマッピング、3DCG動画制作、AR・VRコンテンツ制作に関する個人情報の取り扱いや、データ保護に関する方針をご確認いただけます。","https://static.wixstatic.com/media/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg/v1/fill/w_2500,h_1875,al_c/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"pages","https://www.mirasisone.com","/","/","keep-200","2026-06-06","200","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","株式会社MIRASISONEの公式サイト。プロジェクションマッピングや3D映像制作、AR/VRコンテンツ、メタバースの制作など、革新的なバーチャル体験を通じて、未来のコンテンツを創造し続けます。","https://www.mirasisone.com","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","株式会社MIRASISONEの公式サイト。プロジェクションマッピングや3D映像制作、AR/VRコンテンツ、メタバースの制作など、革新的なバーチャル体験を通じて、未来のコンテンツを創造し続けます。","https://static.wixstatic.com/media/abf8a7_85abfb902c454f15a4a79aaf9bd18e28~mv2.png/v1/fill/w_900,h_900,al_c/abf8a7_85abfb902c454f15a4a79aaf9bd18e28~mv2.png","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"pages","https://www.mirasisone.com/recruit","/recruit","/recruit","keep-200","2026-06-06","200","RECRUIT | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEでは、最先端の映像技術を活用し、革新的なコンテンツを創造する仲間を募集しています。プロジェクションマッピング、3DCG、AR/VRの分野で挑戦し、共に成長することに意欲的な方を歓迎します。あなたのスキルと情熱を活かし、未来のエンターテインメントを共に作り上げましょう。","https://www.mirasisone.com/recruit","RECRUIT | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEでは、最先端の映像技術を活用し、革新的なコンテンツを創造する仲間を募集しています。プロジェクションマッピング、3DCG、AR/VRの分野で挑戦し、共に成長することに意欲的な方を歓迎します。あなたのスキルと情熱を活かし、未来のエンターテインメントを共に作り上げましょう。","https://static.wixstatic.com/media/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg/v1/fill/w_2500,h_1875,al_c/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"pages","https://www.mirasisone.com/works","/works","/works","keep-200","2026-06-06","200","SERVICES & WORKS | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEでは、最先端の映像技術を活用した多彩なサービスを提供しています。プロジェクションマッピングや3DCG、AR/VRコンテンツ制作など、未来を切り開く革新的なソリューションで、あなたのビジネスにインパクトを与えます。詳細なサービス内容をご覧ください。","https://www.mirasisone.com/works","SERVICES & WORKS | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEでは、最先端の映像技術を活用した多彩なサービスを提供しています。プロジェクションマッピングや3DCG、AR/VRコンテンツ制作など、未来を切り開く革新的なソリューションで、あなたのビジネスにインパクトを与えます。詳細なサービス内容をご覧ください。","https://static.wixstatic.com/media/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg/v1/fill/w_2500,h_1875,al_c/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"pages","https://www.mirasisone.com/home","/home","/","301","2026-06-06","200","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","株式会社MIRASISONEの公式サイト。プロジェクションマッピングや3D映像制作、AR/VRコンテンツ、メタバースの制作など、革新的なバーチャル体験を通じて、未来のコンテンツを創造し続けます。","https://www.mirasisone.com/home","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","株式会社MIRASISONEの公式サイト。プロジェクションマッピングや3D映像制作、AR/VRコンテンツ、メタバースの制作など、革新的なバーチャル体験を通じて、未来のコンテンツを創造し続けます。","https://static.wixstatic.com/media/abf8a7_85abfb902c454f15a4a79aaf9bd18e28~mv2.png/v1/fill/w_900,h_900,al_c/abf8a7_85abfb902c454f15a4a79aaf9bd18e28~mv2.png","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"blog-category","https://www.mirasisone.com/blog/categories/ホームページリニューアル","/blog/categories/%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB","/blog/categories/%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8%E3%83%AA%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%AB","keep-200","2025-07-16","200","ホームページリニューアル","","https://www.mirasisone.com/blog/categories/ホームページリニューアル","ホームページリニューアル","","","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"blog-category","https://www.mirasisone.com/blog/categories/3d映像制作","/blog/categories/3d%E6%98%A0%E5%83%8F%E5%88%B6%E4%BD%9C","/blog/categories/3d%E6%98%A0%E5%83%8F%E5%88%B6%E4%BD%9C","keep-200","2026-07-22","200","3D映像制作","","https://www.mirasisone.com/blog/categories/3d映像制作","3D映像制作","","","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
"blog-category","https://www.mirasisone.com/blog","/blog","/blog","keep-200","2026-07-30","200","TOPICS・NEWS | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEの最新ニュースとトピックスページ。プロジェクションマッピング、3DCG動画制作、AR・VRコンテンツ制作に関する最新情報、イベント情報、業界の動向をご覧いただけます。","https://www.mirasisone.com/blog","TOPICS・NEWS | MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VRコンテンツ制作 | 東京","MIRASISONEの最新ニュースとトピックスページ。プロジェクションマッピング、3DCG動画制作、AR・VRコンテンツ制作に関する最新情報、イベント情報、業界の動向をご覧いただけます。","https://static.wixstatic.com/media/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg/v1/fill/w_2500,h_1875,al_c/6c4e63_0515e4bc2cb940fe95ead9b597ce46a2~mv2.jpg","MIRASISONE | プロジェクションマッピング・3DCG動画制作 | AR・VR制作 | 東京"
