type,old_url,old_path,new_path,action,lastmod,implementation_status,notes
"pages","https://www.mirasisone.com/blog","/blog","/blog","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/company","/company","/company","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/privacy-policy","/privacy-policy","/privacy-policy","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com","/","/","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/recruit","/recruit","/recruit","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/works","/works","/works","keep-200","2026-06-06","pending",""
"pages","https://www.mirasisone.com/home","/home","/","301","2026-06-06","pending",""
"blog-post","https://www.mirasisone.com/post/店舗内プロジェクションマッピングとは？導入メリットと成功事例を紹介","/post/%E5%BA%97%E8%88%97%E5%86%85%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E5%B0%8E%E5%85%A5%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88%E3%81%A8%E6%88%90%E5%8A%9F%E4%BA%8B%E4%BE%8B%E3%82%92%E7%B4%B9%E4%BB%8B","/post/%E5%BA%97%E8%88%97%E5%86%85%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E5%B0%8E%E5%85%A5%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88%E3%81%A8%E6%88%90%E5%8A%9F%E4%BA%8B%E4%BE%8B%E3%82%92%E7%B4%B9%E4%BB%8B","keep-200","2025-10-20","pending",""
"blog-post","https://www.mirasisone.com/post/【nft鳴門美術館】日本発の画期的な技法とバーチャル映像が融合！mirasisoneが地域活性化を目指す特別展「アール・グラージュ特別展示会」でマッピングを披露しました","/post/%E3%80%90nft%E9%B3%B4%E9%96%80%E7%BE%8E%E8%A1%93%E9%A4%A8%E3%80%91%E6%97%A5%E6%9C%AC%E7%99%BA%E3%81%AE%E7%94%BB%E6%9C%9F%E7%9A%84%E3%81%AA%E6%8A%80%E6%B3%95%E3%81%A8%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%83%AB%E6%98%A0%E5%83%8F%E3%81%8C%E8%9E%8D%E5%90%88%EF%BC%81mirasisone%E3%81%8C%E5%9C%B0%E5%9F%9F%E6%B4%BB%E6%80%A7%E5%8C%96%E3%82%92%E7%9B%AE%E6%8C%87%E3%81%99%E7%89%B9%E5%88%A5%E5%B1%95%E3%80%8C%E3%82%A2%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%A9%E3%83%BC%E3%82%B8%E3%83%A5%E7%89%B9%E5%88%A5%E5%B1%95%E7%A4%BA%E4%BC%9A%E3%80%8D%E3%81%A7%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%92%E6%8A%AB%E9%9C%B2%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F","/post/%E3%80%90nft%E9%B3%B4%E9%96%80%E7%BE%8E%E8%A1%93%E9%A4%A8%E3%80%91%E6%97%A5%E6%9C%AC%E7%99%BA%E3%81%AE%E7%94%BB%E6%9C%9F%E7%9A%84%E3%81%AA%E6%8A%80%E6%B3%95%E3%81%A8%E3%83%90%E3%83%BC%E3%83%81%E3%83%A3%E3%83%AB%E6%98%A0%E5%83%8F%E3%81%8C%E8%9E%8D%E5%90%88%EF%BC%81mirasisone%E3%81%8C%E5%9C%B0%E5%9F%9F%E6%B4%BB%E6%80%A7%E5%8C%96%E3%82%92%E7%9B%AE%E6%8C%87%E3%81%99%E7%89%B9%E5%88%A5%E5%B1%95%E3%80%8C%E3%82%A2%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%A9%E3%83%BC%E3%82%B8%E3%83%A5%E7%89%B9%E5%88%A5%E5%B1%95%E7%A4%BA%E4%BC%9A%E3%80%8D%E3%81%A7%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%92%E6%8A%AB%E9%9C%B2%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F","keep-200","2024-08-28","pending",""
"blog-post","https://www.mirasisone.com/post/焼肉レストランにプロジェクションマッピング導入！一日一組限定の個室が非現実空間に変化","/post/%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%AB%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E5%B0%8E%E5%85%A5%EF%BC%81%E4%B8%80%E6%97%A5%E4%B8%80%E7%B5%84%E9%99%90%E5%AE%9A%E3%81%AE%E5%80%8B%E5%AE%A4%E3%81%8C%E9%9D%9E%E7%8F%BE%E5%AE%9F%E7%A9%BA%E9%96%93%E3%81%AB%E5%A4%89%E5%8C%96","/post/%E7%84%BC%E8%82%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%AB%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E5%B0%8E%E5%85%A5%EF%BC%81%E4%B8%80%E6%97%A5%E4%B8%80%E7%B5%84%E9%99%90%E5%AE%9A%E3%81%AE%E5%80%8B%E5%AE%A4%E3%81%8C%E9%9D%9E%E7%8F%BE%E5%AE%9F%E7%A9%BA%E9%96%93%E3%81%AB%E5%A4%89%E5%8C%96","keep-200","2025-08-30","pending",""
"blog-post","https://www.mirasisone.com/post/新宿シーシャバー-幻想的映像でアップグレード。プロジェクションマッピングが創る-体験空間","/post/%E6%96%B0%E5%AE%BF%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%90%E3%83%BC-%E5%B9%BB%E6%83%B3%E7%9A%84%E6%98%A0%E5%83%8F%E3%81%A7%E3%82%A2%E3%83%83%E3%83%97%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%89%E3%80%82%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%8C%E5%89%B5%E3%82%8B-%E4%BD%93%E9%A8%93%E7%A9%BA%E9%96%93","/post/%E6%96%B0%E5%AE%BF%E3%82%B7%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%90%E3%83%BC-%E5%B9%BB%E6%83%B3%E7%9A%84%E6%98%A0%E5%83%8F%E3%81%A7%E3%82%A2%E3%83%83%E3%83%97%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%89%E3%80%82%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%8C%E5%89%B5%E3%82%8B-%E4%BD%93%E9%A8%93%E7%A9%BA%E9%96%93","keep-200","2025-07-31","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-seisaku-cost","/post/projection-mapping-seisaku-cost","/post/projection-mapping-seisaku-cost","keep-200","2026-05-07","pending",""
"blog-post","https://www.mirasisone.com/post/sauna-japon-projection-mapping","/post/sauna-japon-projection-mapping","/post/sauna-japon-projection-mapping","keep-200","2025-12-15","pending",""
"blog-post","https://www.mirasisone.com/post/【映像あり】-空間が動き出す瞬間-プロジェクションマッピングで創る新しい体験","/post/%E3%80%90%E6%98%A0%E5%83%8F%E3%81%82%E3%82%8A%E3%80%91-%E7%A9%BA%E9%96%93%E3%81%8C%E5%8B%95%E3%81%8D%E5%87%BA%E3%81%99%E7%9E%AC%E9%96%93-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A7%E5%89%B5%E3%82%8B%E6%96%B0%E3%81%97%E3%81%84%E4%BD%93%E9%A8%93","/post/%E3%80%90%E6%98%A0%E5%83%8F%E3%81%82%E3%82%8A%E3%80%91-%E7%A9%BA%E9%96%93%E3%81%8C%E5%8B%95%E3%81%8D%E5%87%BA%E3%81%99%E7%9E%AC%E9%96%93-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A7%E5%89%B5%E3%82%8B%E6%96%B0%E3%81%97%E3%81%84%E4%BD%93%E9%A8%93","keep-200","2025-09-04","pending",""
"blog-post","https://www.mirasisone.com/post/美しさ-を可視化する-美容業界-映像制作の新提案。3dcgで広がる表現の可能性","/post/%E7%BE%8E%E3%81%97%E3%81%95-%E3%82%92%E5%8F%AF%E8%A6%96%E5%8C%96%E3%81%99%E3%82%8B-%E7%BE%8E%E5%AE%B9%E6%A5%AD%E7%95%8C-%E6%98%A0%E5%83%8F%E5%88%B6%E4%BD%9C%E3%81%AE%E6%96%B0%E6%8F%90%E6%A1%88%E3%80%823dcg%E3%81%A7%E5%BA%83%E3%81%8C%E3%82%8B%E8%A1%A8%E7%8F%BE%E3%81%AE%E5%8F%AF%E8%83%BD%E6%80%A7","/post/%E7%BE%8E%E3%81%97%E3%81%95-%E3%82%92%E5%8F%AF%E8%A6%96%E5%8C%96%E3%81%99%E3%82%8B-%E7%BE%8E%E5%AE%B9%E6%A5%AD%E7%95%8C-%E6%98%A0%E5%83%8F%E5%88%B6%E4%BD%9C%E3%81%AE%E6%96%B0%E6%8F%90%E6%A1%88%E3%80%823dcg%E3%81%A7%E5%BA%83%E3%81%8C%E3%82%8B%E8%A1%A8%E7%8F%BE%E3%81%AE%E5%8F%AF%E8%83%BD%E6%80%A7","keep-200","2025-05-15","pending",""
"blog-post","https://www.mirasisone.com/post/3dcg-video-production-guide","/post/3dcg-video-production-guide","/post/3dcg-video-production-guide","keep-200","2026-07-13","pending",""
"blog-post","https://www.mirasisone.com/post/マッピングとは？プロジェクションマッピングの仕組みを初心者向けに解説","/post/%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%AE%E4%BB%95%E7%B5%84%E3%81%BF%E3%82%92%E5%88%9D%E5%BF%83%E8%80%85%E5%90%91%E3%81%91%E3%81%AB%E8%A7%A3%E8%AA%AC","/post/%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A8%E3%81%AF%EF%BC%9F%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%AE%E4%BB%95%E7%B5%84%E3%81%BF%E3%82%92%E5%88%9D%E5%BF%83%E8%80%85%E5%90%91%E3%81%91%E3%81%AB%E8%A7%A3%E8%AA%AC","keep-200","2026-07-30","pending",""
"blog-post","https://www.mirasisone.com/post/restaurant-projection-mapping-failure-guide","/post/restaurant-projection-mapping-failure-guide","/post/restaurant-projection-mapping-failure-guide","keep-200","2026-03-23","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-tokyo","/post/projection-mapping-tokyo","/post/projection-mapping-tokyo","keep-200","2026-05-11","pending",""
